brand,name,price,product_ID
ERBORIAN,BB Cream Tinted Moisturizer Broad Spectrum SPF20,$39.00,P396093
GIORGIO ARMANI BEAUTY,Maestro Fusion Makeup Octinoxate Sunscreen SPF 15,$64.00,P393403
GIVENCHY,Teint Couture Blurring Foundation Balm Broad Spectrum 15,$45.00,P397883
LAURA MERCIER,Mineral Powder,$42.00,P181802
STILA,Hide & Chic Fluid Foundation,$39.00,P447130
ANASTASIA BEVERLY HILLS,Stick Foundation,$25.00,P410504
KOH GEN DO,Aqua Foundation,$77.00,P431509
CLINIQUE,Stay-Matte Oil-Free Makeup,$28.50,P310726
GIVENCHY,Teint Couture Everwear Foundation,$52.00,P442284
PRETTY VULGAR,Cool AF Lava Water Foundation,$39.00,P446041
ESTÉE LAUDER,Double Wear Nude Water Fresh Foundation SPF 30,$43.00,P422278
BAREMINERALS,Prime Time BB Tinted Primer Broad Spectrum SPF 30,$27.00,P385504
PERRICONE MD,No Makeup Foundation Serum Broad Spectrum SPF 20,$60.00,P386465
MILK MAKEUP,Blur Liquid Matte Foundation,$40.00,P421938
BECCA,Aqua Luminous Perfecting Foundation,$44.00,P404106
HOURGLASS,Veil Fluid Makeup Oil Free Broad Spectrum SPF 15,$60.00,P193231
GIVENCHY,Matissime Velvet Radiant Mattifying Fluid Foundation SPF 20,$55.00,P419438
MILK MAKEUP,Sunshine Skin Tint SPF 30,$42.00,P410176
WANDER BEAUTY,Wanderlust Powder Foundation,$40.00,P411529
COOLA,Mineral Face SPF 30 - Matte Tint,$36.00,P395627
ESTÉE LAUDER,Double Wear Maximum Cover Camouflage Foundation For Face and Body SPF 15,$43.00,P392603
HOURGLASS,Vanish™ Seamless Finish Liquid Foundation,$56.00,P440458
TOM FORD,Traceless Perfecting Foundation Broad Spectrum SPF 15,$88.00,P422573
CLINIQUE,Superbalanced Makeup,$28.50,P122740
GIORGIO ARMANI BEAUTY,Face Fabric Foundation,$49.00,P428212
STELLAR,Limitless Foundation,$38.00,P417152
CLINIQUE,Acne Solutions BB Cream Broad Spectrum SPF 40,$39.50,P394252
KEVYN AUCOIN,The Etherealist Foundation,$58.00,P411600
LAWLESS,Woke Up Like This Flawless Finish Foundation,$46.00,P432234
BENEFIT COSMETICS,Hello Happy Soft Blur Foundation,$30.00,P432858
STILA,Stay All Day Foundation + Concealer,$40.00,P420628
BECCA,Skin Love Weightless Blur Foundation,$44.00,P434379
CLINIQUE,Even Better™ Glow Light Reflecting Makeup Broad Spectrum SPF 15,$29.50,P422881
COVER FX,Custom Cover Drops,$29.00,P394579
KAT VON D,Lock-It Powder Foundation Refills,$23.00,P447557
BEAUTYBLENDER,Power Couple Customizable Foundation Set,"$50.00
($60.00 value)",P447585
NUDESTIX,Tinted Cover Foundation,$35.00,P448152
COOLA,Rōsilliance™ Organic BB+ Cream SPF 30,$52.00,P409519
ESTÉE LAUDER,Double Wear Stay-In-Place Foundation Pump,$10.00,P427045
BENEFIT COSMETICS,Hello Happy Flawless Brightening Foundation,$30.00,P447121
SEPHORA COLLECTION,Make No Mistake Foundation & Concealer Stick,$20.00,P420440
BAREMINERALS,Nothing Beats the Original™ Complexion Kit,$34.00,P421000
JOUER COSMETICS,Essential High Coverage Crème Foundation,$38.00,P434015
DIOR,Capture Dreamskin Fresh & Perfect Cushion Broad Spectrum SPF 50 Refill,$42.00,P435807
NATASHA DENONA,Foundation X+,$45.00,P442957
JOSIE MARAN,Argan Matchmaker Serum Foundation,$45.00,P280202
BENEFIT COSMETICS,Hello Happy Velvet Power Foundation,$30.00,P447122
MAKE UP FOR EVER,Liquid Lift Foundation,$44.00 $22.00,P375522
PHILOSOPHY,Renewed Hope in a Jar Skin Tint,$39.00,P417009
SEPHORA COLLECTION,Matte Perfection Full Coverage Foundation,$20.00,P439400
SURRATT BEAUTY,Surreal Skin Foundation Wand,$65.00,P407377
WANDER BEAUTY,Flash Focus Hydrating Foundation Stick,$40.00 $34.00,P407107
ILIA,Sheer Vivid Tinted Moisturizer SPF 20,$42.00,P433893
NATASHA DENONA,Face Glow Foundation,$42.00,P448511
LILAH B.,Flawless Finish Foundation,$48.00,P421445
SHISEIDO,Sports BB SPF 50+,$38.00,P442732
CLINIQUE,Beyond Perfecting Powder Foundation + Concealer,$29.50,P426374
BECCA,Ever-Matte Shine Proof Foundation,$42.00,P379097
GUERLAIN,Lingerie de Peau Aqua Nude Foundation,$49.00,P422869
BENEFIT COSMETICS,Hello Happy Flawless Brightening Foundation Mini,$15.00,P447358
CLINIQUE,Chubby in the Nude Foundation Stick,$28.50,P404468
CLINIQUE,Even Better Refresh™ Hydrating and Repairing Foundation,$32.00,P446874
WANDER BEAUTY,Nude Illusion Liquid Foundation,$40.00,P437367
NARS,Sheer Glow Foundation Pump,$6.00,P433123
STELLAR,Limitless Foundation Customizable Set,"$45.00
($72.00 value)",P442811
DR. DENNIS GROSS SKINCARE,Instant Radiance Sun Defense Sunscreen Broad Spectrum SPF 40,$42.00,P409706
BOSCIA,Skin Perfecting BB Cream Broad Spectrum SPF 30,$38.00,P443379
BAREMINERALS,bareSkin® Pure Brightening Serum Foundation Broad Spectrum SPF 20,$30.00,P385364
NATASHA DENONA,Transformatte Pore Vanishing Matte Foundation,$45.00,P434566
BLACK UP,Full Coverage Cream Foundation,$43.50 $21.75,P400889
LILAH B.,Marvelous Matte™ Crème Foundation,$54.00,P434534
GUERLAIN,Terracotta Skin Cream Powder Foundation,$58.00,P284711
